"__host","__link","__title"
"gulftech.org","http://gulftech.org/advisories/WDMyCloud%20Multiple%20Vulnerabilities/125","Hard-coded backdoor and vulnerabilities found in WD MyCloud NAS devices"
"raspberrypi.org","https://www.raspberrypi.org/blog/why-raspberry-pi-isnt-vulnerable-to-spectre-or-meltdown/","Why Raspberry Pi Isn't Vulnerable to Spectre or Meltdown"
"smithsonianmag.com","https://www.smithsonianmag.com/innovation/extraordinary-life-nikola-tesla-180967758/?no-ist","The Extraordinary Life of Nikola Tesla"
"ibm.com","https://www.ibm.com/blogs/psirt/potential-impact-processors-power-family/","Potential Impact of Spectre on Processors in the Power family"
"seclists.org","http://seclists.org/fulldisclosure/2018/Jan/12","AMD PSP: Firmware TPM Remote Code Execution via Crafted EK Certificate"
"ft.com","https://www.ft.com/content/765781fe-f136-11e7-b220-857e26d1aca4","The case against GDP: time to change the way we measure the wealth of nations"
"gitmask.com","https://www.gitmask.com/","GitMask – Develop Anonymously"
"lever.co","https://jobs.lever.co/plangrid","PlanGrid (YC W12) Is Hiring Front End and Back End Engineers and More"
"fogcreek.com","http://blog.fogcreek.com/killing-off-wasabi-part-1/","Killing Off Wasabi (2015)"
"arxiv.org","https://arxiv.org/ftp/arxiv/papers/1801/1801.00631.pdf","Deep Learning: A Critical Appraisal [pdf]"
"facebook.com","https://www.facebook.com/yann.lecun/posts/10155003011462143","“Deep Learning has outlived its usefulness as a buzz-phrase“"
"github.com","https://github.com/hishamhm/htop/issues/682","Leaving htop running freezes macOS High Sierra"
"medium.com","https://medium.com/the-ai-lab/artificial-intelligence-in-drug-discovery-is-overhyped-examples-from-astrazeneca-harvard-315d69a7f863","AI in drug discovery is overhyped: examples from AstraZeneca, Harvard, Stanford"
"racket-lang.org","https://blog.racket-lang.org/2018/01/racket-on-chez-status.html","Racket-On-Chez Status"
"acm.org","https://www.acm.org/ceo-search","ACM is Searching for a CEO"
"panic.com","https://panic.com/blog/the-future-of-transmit-ios/","The Future of Transmit iOS"
"github.com","https://gist.github.com/antirez/9e716670f76133ec81cb24036f86ee95","Meltdown fix impact on Redis performances in virtualized environments"
"github.com","https://github.com/diegoalejogm/gans","Generative Adversarial Networks Code in PyTorch and Tensorflow"
"mailgun.com","http://blog.mailgun.com/mailgun-security-incident-and-important-customer-information/","Mailgun Security Incident and Important Customer Information"
"intel.com","https://newsroom.intel.com/wp-content/uploads/sites/11/2018/01/Intel-Analysis-of-Speculative-Execution-Side-Channels.pdf","Intel Analysis of Speculative Execution Side Channels [pdf]"
"rhaas.blogspot.com","http://rhaas.blogspot.com/2018/01/the-state-of-vacuum.html","The State of Vacuum in Postgres"
"nature.com","https://www.nature.com/articles/d41586-018-00093-7","Germany vs. Elsevier: universities win temporary free journal access"
"idyll-lang.org","https://idyll-lang.org/","Idyll Language – Author interactive narratives for the web"
"opensuse.org","https://lists.opensuse.org/opensuse-security-announce/2018-01/msg00004.html","AMD ships microcode update to disable branch prediction"
"arxiv.org","https://arxiv.org/abs/1506.00189","Robust and Efficient Elimination of Cache and Timing Side Channels"
"gruss.cc","https://gruss.cc/files/fantastictimers.pdf","Fantastic Timers: High-Resolution Microarchitectural Attacks in JS (2017) [pdf]"
"nybooks.com","http://www.nybooks.com/daily/2018/01/05/the-novelists-complicity/","The Novelist’s Complicity"
"github.com","https://github.com/basic-gongfu/cixl","Show HN: Cixl – a minimal, decently typed scripting language"
"quantamagazine.org","https://www.quantamagazine.org/physicists-aim-to-classify-all-possible-phases-of-matter-20180103/","Physicists Aim to Classify All Possible Phases of Matter"
"eev.ee","https://eev.ee/blog/2018/01/02/random-with-care/","Random with care"
