Headline,Summary,Time,Article Link
Twitter says world leaders like Trump have special status,"Twitter Inc  on Friday reiterated its stance that accounts belonging to world leaders have special status on the social media network, pushing back against users who have called on the company to banish U.S. President Donald Trump.",06 Jan 2018,https://www.reuters.com//article/twitter-trump/twitter-says-world-leaders-like-trump-have-special-status-idINKBN1EU23I
CES kicks off with no lead women speakers or code of conduct,"The technology industry's premier annual gathering kicks off next week with no women leading the keynote sessions and no code of conduct that might prevent incidents of sexual harassment, despite efforts by organizers to cast the show as a more inclusive event.",06 Jan 2018,https://www.reuters.com//article/tech-ces-misconduct/ces-kicks-off-with-no-lead-women-speakers-or-code-of-conduct-idINKBN1EU26J
Businesses cautious in installing patches to fix chip flaw,"Chances that a fix to a major microchip security flaw may slow down or crash some computer systems are leading some businesses to hold off installing software patches, fearing the cure may be worse than the original problem.",06 Jan 2018,https://www.reuters.com//article/cyber-microchips/businesses-cautious-in-installing-patches-to-fix-chip-flaw-idINKBN1EU12J
Jimmy Iovine to leave Apple Music in August: Billboard,"Music mogul Jimmy Iovine is said to leave Apple Inc's music streaming service in August, the Billboard magazine reported on Thursday, citing unnamed sources and music industry website Hits Daily Double.",05 Jan 2018,https://www.reuters.com//article/apple-jimmy-iovine/jimmy-iovine-to-leave-apple-music-in-august-billboard-idINKBN1EU1PC
Solar modules stuck at Indian ports due to import duty dispute,"Solar modules worth more than $150 million are stuck at various Indian ports due to a dispute over their classification and the import tax applicable to them, sources said, which could delay  Prime Minister Narendra Modi's clean energy goals.",05 Jan 2018,https://www.reuters.com//article/india-solar/solar-modules-stuck-at-indian-ports-due-to-import-duty-dispute-idINKBN1EU1BR
"French opposition, Twitter users slam Macron's anti-fake-news plans",French President Emmanuel Macron's plans to legislate against fake news are running into opposition.,05 Jan 2018,https://www.reuters.com//article/france-macron-fakenews/french-opposition-twitter-users-slam-macrons-anti-fake-news-plans-idINKBN1EU182
Renault-Nissan sets up $200 million fund to tap startups: sources,"The Renault-Nissan-Mitsubishi alliance is pooling $200 million in a new mobility tech fund, three sources said, in the latest move by major carmakers to adapt to rapid industry change by investing in startups through their own venture capital arms.",05 Jan 2018,https://www.reuters.com//article/renault-nissan-startups/renault-nissan-sets-up-200-million-fund-to-tap-startups-sources-idINKBN1EU0ZX
Google eyes Chinese e-sports market with investment in Chushou,"Alphabet Inc's Google has joined an investment in Chinese live-stream mobile game platform Chushou that brings the startup's total funding to $120 million, as the U.S. firm eyes new inroads to China where its search engine is blocked.",05 Jan 2018,https://www.reuters.com//article/china-google-investment/google-eyes-chinese-e-sports-market-with-investment-in-chushou-idINKBN1EU0FB
China aims to enable half of all new cars with AI by 2020,"China aims to implement artificial intelligence technology in at least half of all its new cars by 2020 and cover 90 percent of its big cities and highways with a wireless network that can support smart vehicles, its top state planner said on Friday.",05 Jan 2018,https://www.reuters.com//article/china-auto/china-aims-to-enable-half-of-all-new-cars-with-ai-by-2020-idINKBN1EU0VY
Uber ex-CEO Kalanick selling nearly a third of stake for $1.4 billion: source,"Uber Technologies Inc co-founder Travis Kalanick, who was ousted as chief executive in June, is selling nearly a third of his 10 percent stake in the ride-services company for about $1.4 billion, a person familiar with the matter said on Thursday.",05 Jan 2018,https://www.reuters.com//article/uber-travis-kalanick/uber-ex-ceo-kalanick-selling-nearly-a-third-of-stake-for-1-4-billion-source-idINKBN1EU09I
